date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Next_Day_AQI
2019-10-08,124,68.2,133.92,102.92,141.36,1.3,117.8,46.0
2019-11-08,46,25.3,49.68,38.18,52.44,0.48,43.7,174.0
2019-12-08,174,95.7,187.92,144.42,198.36,1.83,165.3,56.0
2019-08-13,56,30.8,60.48,46.48,63.84,0.59,53.2,62.0
2019-08-14,62,34.1,66.96,51.46,70.68,0.65,58.9,61.0
2019-08-15,61,33.55,65.88,50.63,69.54,0.64,57.95,52.0
2019-08-16,52,28.6,56.16,43.16,59.28,0.55,49.4,69.0
2019-08-17,69,37.95,74.52,57.27,78.66,0.72,65.55,60.0
2019-08-18,60,33.0,64.8,49.8,68.4,0.63,57.0,61.0
2019-08-19,61,33.55,65.88,50.63,69.54,0.64,57.95,67.0
2019-08-20,67,36.85,72.36,55.61,76.38,0.7,63.65,60.0
2019-08-21,60,33.0,64.8,49.8,68.4,0.63,57.0,57.0
2019-08-22,57,31.35,61.56,47.31,64.98,0.6,54.15,59.0
2019-08-23,59,32.45,63.72,48.97,67.26,0.62,56.05,59.0
2019-08-24,59,32.45,63.72,48.97,67.26,0.62,56.05,56.0
2019-08-25,56,30.8,60.48,46.48,63.84,0.59,53.2,69.0
2019-08-26,69,37.95,74.52,57.27,78.66,0.72,65.55,61.0
2019-08-27,61,33.55,65.88,50.63,69.54,0.64,57.95,45.0
2019-08-28,45,24.75,48.6,37.35,51.3,0.47,42.75,50.0
2019-08-29,50,27.5,54.0,41.5,57.0,0.53,47.5,49.0
2019-08-30,49,26.95,52.92,40.67,55.86,0.51,46.55,50.0
2019-08-31,50,27.5,54.0,41.5,57.0,0.53,47.5,154.0
2019-01-09,154,84.7,166.32,127.82,175.56,1.62,146.3,159.0
2019-02-09,159,87.45,171.72,131.97,181.26,1.67,151.05,189.0
2019-03-09,189,103.95,204.12,156.87,215.46,1.98,179.55,90.0
2019-04-09,90,49.5,97.2,74.7,102.6,0.95,85.5,89.0
2019-05-09,89,48.95,96.12,73.87,101.46,0.93,84.55,87.0
2019-06-09,87,47.85,93.96,72.21,99.18,0.91,82.65,53.0
2019-07-09,53,29.15,57.24,43.99,60.42,0.56,50.35,72.0
2019-08-09,72,39.6,77.76,59.76,82.08,0.76,68.4,45.0
2019-09-09,45,24.75,48.6,37.35,51.3,0.47,42.75,64.0
2019-10-09,64,35.2,69.12,53.12,72.96,0.67,60.8,75.0
2019-11-09,75,41.25,81.0,62.25,85.5,0.79,71.25,206.0
2019-12-09,206,113.3,222.48,170.98,234.84,2.16,195.7,39.0
2019-09-13,39,21.45,42.12,32.37,44.46,0.41,37.05,49.0
2019-09-14,49,26.95,52.92,40.67,55.86,0.51,46.55,46.0
2019-09-15,46,25.3,49.68,38.18,52.44,0.48,43.7,44.0
2019-09-16,44,24.2,47.52,36.52,50.16,0.46,41.8,44.0
2019-09-17,44,24.2,47.52,36.52,50.16,0.46,41.8,50.0
2019-09-18,50,27.5,54.0,41.5,57.0,0.53,47.5,66.0
2019-09-19,66,36.3,71.28,54.78,75.24,0.69,62.7,66.0
2019-09-20,66,36.3,71.28,54.78,75.24,0.69,62.7,40.0
2019-09-21,40,22.0,43.2,33.2,45.6,0.42,38.0,45.0
2019-09-22,45,24.75,48.6,37.35,51.3,0.47,42.75,58.0
2019-09-23,58,31.9,62.64,48.14,66.12,0.61,55.1,60.0
2019-09-24,60,33.0,64.8,49.8,68.4,0.63,57.0,44.0
2019-09-25,44,24.2,47.52,36.52,50.16,0.46,41.8,54.0
2019-09-26,54,29.7,58.32,44.82,61.56,0.57,51.3,32.0
2019-09-27,32,17.6,34.56,26.56,36.48,0.34,30.4,29.0
2019-09-28,29,15.95,31.32,24.07,33.06,0.3,27.55,33.0
2019-09-29,33,18.15,35.64,27.39,37.62,0.35,31.35,28.0
2019-09-30,28,15.4,30.24,23.24,31.92,0.29,26.6,219.0
2019-01-10,219,120.45,236.52,181.77,249.66,2.3,208.05,187.0
2019-02-10,187,102.85,201.96,155.21,213.18,1.96,177.65,144.0
2019-03-10,144,79.2,155.52,119.52,164.16,1.51,136.8,93.0
2019-04-10,93,51.15,100.44,77.19,106.02,0.98,88.35,87.0
2019-05-10,87,47.85,93.96,72.21,99.18,0.91,82.65,81.0
2019-06-10,81,44.55,87.48,67.23,92.34,0.85,76.95,42.0
2019-07-10,42,23.1,45.36,34.86,47.88,0.44,39.9,68.0
2019-08-10,68,37.4,73.44,56.44,77.52,0.71,64.6,46.0
2019-09-10,46,25.3,49.68,38.18,52.44,0.48,43.7,88.0
2019-10-10,88,48.4,95.04,73.04,100.32,0.92,83.6,92.0
2019-11-10,92,50.6,99.36,76.36,104.88,0.97,87.4,174.0
2019-12-10,174,95.7,187.92,144.42,198.36,1.83,165.3,109.0
2019-10-13,109,59.95,117.72,90.47,124.26,1.14,103.55,116.0
2019-10-14,116,63.8,125.28,96.28,132.24,1.22,110.2,106.0
2019-10-15,106,58.3,114.48,87.98,120.84,1.11,100.7,106.0
2019-10-16,106,58.3,114.48,87.98,120.84,1.11,100.7,146.0
2019-10-17,146,80.3,157.68,121.18,166.44,1.53,138.7,142.0
2019-10-18,142,78.1,153.36,117.86,161.88,1.49,134.9,69.0
2019-10-19,69,37.95,74.52,57.27,78.66,0.72,65.55,46.0
2019-10-20,46,25.3,49.68,38.18,52.44,0.48,43.7,50.0
2019-10-21,50,27.5,54.0,41.5,57.0,0.53,47.5,56.0
2019-10-22,56,30.8,60.48,46.48,63.84,0.59,53.2,50.0
2019-10-23,50,27.5,54.0,41.5,57.0,0.53,47.5,71.0
2019-10-24,71,39.05,76.68,58.93,80.94,0.75,67.45,62.0
2019-10-25,62,34.1,66.96,51.46,70.68,0.65,58.9,56.0
2019-10-26,56,30.8,60.48,46.48,63.84,0.59,53.2,92.0
2019-10-27,92,50.6,99.36,76.36,104.88,0.97,87.4,104.0
2019-10-28,104,57.2,112.32,86.32,118.56,1.09,98.8,112.0
2019-10-29,112,61.6,120.96,92.96,127.68,1.18,106.4,89.0
2019-10-30,89,48.95,96.12,73.87,101.46,0.93,84.55,76.0
2019-10-31,76,41.8,82.08,63.08,86.64,0.8,72.2,212.0
2019-01-11,212,116.6,228.96,175.96,241.68,2.23,201.4,225.0
2019-02-11,225,123.75,243.0,186.75,256.5,2.36,213.75,120.0
2019-03-11,120,66.0,129.6,99.6,136.8,1.26,114.0,89.0
2019-04-11,89,48.95,96.12,73.87,101.46,0.93,84.55,92.0
2019-05-11,92,50.6,99.36,76.36,104.88,0.97,87.4,62.0
2019-06-11,62,34.1,66.96,51.46,70.68,0.65,58.9,52.0
2019-07-11,52,28.6,56.16,43.16,59.28,0.55,49.4,70.0
2019-08-11,70,38.5,75.6,58.1,79.8,0.74,66.5,50.0
2019-09-11,50,27.5,54.0,41.5,57.0,0.53,47.5,106.0
2019-10-11,106,58.3,114.48,87.98,120.84,1.11,100.7,109.0
2019-11-11,109,59.95,117.72,90.47,124.26,1.14,103.55,206.0
2019-12-11,206,113.3,222.48,170.98,234.84,2.16,195.7,132.0
2019-11-13,132,72.6,142.56,109.56,150.48,1.39,125.4,115.0
2019-11-14,115,63.25,124.2,95.45,131.1,1.21,109.25,139.0
2019-11-15,139,76.45,150.12,115.37,158.46,1.46,132.05,151.0
2019-11-16,151,83.05,163.08,125.33,172.14,1.59,143.45,145.0
2019-11-17,145,79.75,156.6,120.35,165.3,1.52,137.75,135.0
2019-11-18,135,74.25,145.8,112.05,153.9,1.42,128.25,192.0
2019-11-19,192,105.6,207.36,159.36,218.88,2.02,182.4,207.0
2019-11-20,207,113.85,223.56,171.81,235.98,2.17,196.65,202.0
2019-11-21,202,111.1,218.16,167.66,230.28,2.12,191.9,205.0
2019-11-22,205,112.75,221.4,170.15,233.7,2.15,194.75,180.0
2019-11-23,180,99.0,194.4,149.4,205.2,1.89,171.0,172.0
2019-11-24,172,94.6,185.76,142.76,196.08,1.81,163.4,205.0
2019-11-25,205,112.75,221.4,170.15,233.7,2.15,194.75,184.0
2019-11-26,184,101.2,198.72,152.72,209.76,1.93,174.8,171.0
2019-11-27,171,94.05,184.68,141.93,194.94,1.8,162.45,153.0
2019-11-28,153,84.15,165.24,126.99,174.42,1.61,145.35,163.0
2019-11-29,163,89.65,176.04,135.29,185.82,1.71,154.85,190.0
2019-11-30,190,104.5,205.2,157.7,216.6,2.0,180.5,200.0
2019-01-12,200,110.0,216.0,166.0,228.0,2.1,190.0,219.0
2019-02-12,219,120.45,236.52,181.77,249.66,2.3,208.05,92.0
2019-03-12,92,50.6,99.36,76.36,104.88,0.97,87.4,93.0
2019-04-12,93,51.15,100.44,77.19,106.02,0.98,88.35,93.0
2019-05-12,93,51.15,100.44,77.19,106.02,0.98,88.35,61.0
2019-06-12,61,33.55,65.88,50.63,69.54,0.64,57.95,53.0
2019-07-12,53,29.15,57.24,43.99,60.42,0.56,50.35,65.0
2019-08-12,65,35.75,70.2,53.95,74.1,0.68,61.75,47.0
2019-09-12,47,25.85,50.76,39.01,53.58,0.49,44.65,116.0
2019-10-12,116,63.8,125.28,96.28,132.24,1.22,110.2,138.0
2019-11-12,138,75.9,149.04,114.54,157.32,1.45,131.1,215.0
2019-12-12,215,118.25,232.2,178.45,245.1,2.26,204.25,185.0
2019-12-13,185,101.75,199.8,153.55,210.9,1.94,175.75,99.0
2019-12-14,99,54.45,106.92,82.17,112.86,1.04,94.05,133.0
2019-12-15,133,73.15,143.64,110.39,151.62,1.4,126.35,191.0
2019-12-16,191,105.05,206.28,158.53,217.74,2.01,181.45,175.0
2019-12-17,175,96.25,189.0,145.25,199.5,1.84,166.25,161.0
2019-12-18,161,88.55,173.88,133.63,183.54,1.69,152.95,166.0
2019-12-19,166,91.3,179.28,137.78,189.24,1.74,157.7,197.0
2019-12-20,197,108.35,212.76,163.51,224.58,2.07,187.15,203.0
2019-12-21,203,111.65,219.24,168.49,231.42,2.13,192.85,213.0
2019-12-22,213,117.15,230.04,176.79,242.82,2.24,202.35,212.0
2019-12-23,212,116.6,228.96,175.96,241.68,2.23,201.4,245.0
2019-12-24,245,134.75,264.6,203.35,279.3,2.57,232.75,280.0
2019-12-25,280,154.0,302.4,232.4,319.2,2.94,266.0,244.0
2019-12-26,244,134.2,263.52,202.52,278.16,2.56,231.8,183.0
2019-12-27,183,100.65,197.64,151.89,208.62,1.92,173.85,162.0
2019-12-28,162,89.1,174.96,134.46,184.68,1.7,153.9,153.0
2019-12-29,153,84.15,165.24,126.99,174.42,1.61,145.35,197.0
2019-12-30,197,108.35,212.76,163.51,224.58,2.07,187.15,147.0
2019-12-31,147,80.85,158.76,122.01,167.58,1.54,139.65,198.0
2020-01-01,198,108.9,213.84,164.34,225.72,2.08,188.1,164.0
2020-02-01,164,90.2,177.12,136.12,186.96,1.72,155.8,107.0
2020-03-01,107,58.85,115.56,88.81,121.98,1.12,101.65,57.0
2020-04-01,57,31.35,61.56,47.31,64.98,0.6,54.15,51.0
2020-05-01,51,28.05,55.08,42.33,58.14,0.54,48.45,34.0
2020-06-01,34,18.7,36.72,28.22,38.76,0.36,32.3,31.0
2020-07-01,31,17.05,33.48,25.73,35.34,0.33,29.45,34.0
2020-08-01,34,18.7,36.72,28.22,38.76,0.36,32.3,36.0
2020-09-01,36,19.8,38.88,29.88,41.04,0.38,34.2,75.0
2020-10-01,75,41.25,81.0,62.25,85.5,0.79,71.25,111.0
2020-11-01,111,61.05,119.88,92.13,126.54,1.17,105.45,152.0
2020-12-01,152,83.6,164.16,126.16,173.28,1.6,144.4,163.0
2020-01-13,163,89.65,176.04,135.29,185.82,1.71,154.85,84.0
2020-01-14,84,46.2,90.72,69.72,95.76,0.88,79.8,96.0
