date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Next_Day_AQI,temperature_2m,relative_humidity_2m,wind_speed_10m
2019-09-03,39,21.45,42.12,32.37,44.46,0.41,37.05,55.0,23.04741667,76.35252354,10.27253366
2019-10-03,55,30.25,59.4,45.65,62.7,0.58,52.25,69.0,23.45575,73.85746462,11.7720593
2019-11-03,69,37.95,74.52,57.27,78.66,0.72,65.55,104.0,24.85158333,68.74246725,13.69787351
2019-12-03,104,57.2,112.32,86.32,118.56,1.09,98.8,151.0,25.9495,60.75703642,12.64302192
2019-03-13,151,83.05,163.08,125.33,172.14,1.59,143.45,95.0,25.32033333,68.01963588,10.10230956
2019-03-14,95,52.25,102.6,78.85,108.3,1.0,90.25,162.0,24.40991667,78.63473988,13.55269504
2019-03-15,162,89.1,174.96,134.46,184.68,1.7,153.9,174.0,24.33491667,78.29742367,10.51117592
2019-03-16,174,95.7,187.92,144.42,198.36,1.83,165.3,126.0,23.98908333,75.14634388,10.42294743
2019-03-17,126,69.3,136.08,104.58,143.64,1.32,119.7,125.0,24.58908333,66.99106654,15.30274887
2019-03-18,125,68.75,135.0,103.75,142.5,1.31,118.75,137.0,26.05158333,46.32591933,14.56567249
2019-03-19,137,75.35,147.96,113.71,156.18,1.44,130.15,89.0,25.15366667,62.79585713,9.674601171
2019-03-20,89,48.95,96.12,73.87,101.46,0.93,84.55,82.0,24.74533333,71.51918158,9.36829975
2019-03-21,82,45.1,88.56,68.06,93.48,0.86,77.9,74.0,25.53283333,59.85520675,11.57656648
2019-03-22,74,40.7,79.92,61.42,84.36,0.78,70.3,87.0,25.56825,66.23903896,8.684293538
2019-03-23,87,47.85,93.96,72.21,99.18,0.91,82.65,168.0,24.92658333,80.00494983,9.943293432
2019-03-24,168,92.4,181.44,139.44,191.52,1.76,159.6,165.0,24.57033333,79.09338858,9.964476179
2019-03-25,165,90.75,178.2,136.95,188.1,1.73,156.75,138.0,24.887,74.06852367,11.76227282
2019-03-26,138,75.9,149.04,114.54,157.32,1.45,131.1,122.0,27.25575,57.70029537,13.16557053
2019-03-27,122,67.1,131.76,101.26,139.08,1.28,115.9,105.0,29.04950025,47.19748833,13.76153336
2019-03-28,105,57.75,113.4,87.15,119.7,1.1,99.75,91.0,29.25158371,47.42986192,14.76771118
2019-03-29,91,50.05,98.28,75.53,103.74,0.96,86.45,99.0,28.79741704,54.47371417,12.08931875
2019-03-30,99,54.45,106.92,82.17,112.86,1.04,94.05,80.0,26.53075025,77.64738779,8.423295671
2019-03-31,80,44.0,86.4,66.4,91.2,0.84,76.0,223.0,26.6995,75.61236504,10.0174744
2019-01-04,223,122.65,240.84,185.09,254.22,2.34,211.85,197.0,27.57658346,69.87855025,10.43450414
2019-02-04,197,108.35,212.76,163.51,224.58,2.07,187.15,83.0,27.15575,80.01242558,10.1253243
2019-03-04,83,45.65,89.64,68.89,94.62,0.87,78.85,88.0,27.42658333,76.29045621,9.134762867
2019-04-04,88,48.4,95.04,73.04,100.32,0.92,83.6,89.0,26.312,76.46106,8.403512375
2019-05-04,89,48.95,96.12,73.87,101.46,0.93,84.55,58.0,26.12866667,82.64376792,8.683967875
2019-06-04,58,31.9,62.64,48.14,66.12,0.61,55.1,46.0,27.10158333,79.55650813,9.916101779
2019-07-04,46,25.3,49.68,38.18,52.44,0.48,43.7,41.0,27.55158333,80.95018821,9.7738918
2019-08-04,41,22.55,44.28,34.03,46.74,0.43,38.95,36.0,27.25366667,79.73993842,8.078070621
2019-09-04,36,19.8,38.88,29.88,41.04,0.38,34.2,62.0,27.10991667,80.68339679,9.092059433
2019-10-04,62,34.1,66.96,51.46,70.68,0.65,58.9,71.0,27.28491667,79.82050696,8.724678204
2019-11-04,71,39.05,76.68,58.93,80.94,0.75,67.45,92.0,27.44741667,79.49638962,8.621938708
2019-12-04,92,50.6,99.36,76.36,104.88,0.97,87.4,100.0,27.28075,82.38890425,8.597262567
2019-04-13,100,55.0,108.0,83.0,114.0,1.05,95.0,95.0,27.52033333,81.77331542,10.46342084
2019-04-14,95,52.25,102.6,78.85,108.3,1.0,90.25,92.0,27.79741667,79.5726675,10.39132893
2019-04-15,92,50.6,99.36,76.36,104.88,0.97,87.4,95.0,28.07658358,77.97739083,10.79623979
2019-04-16,95,52.25,102.6,78.85,108.3,1.0,90.25,85.0,28.96200063,68.49867446,13.27234419
2019-04-17,85,46.75,91.8,70.55,96.9,0.89,80.75,94.0,29.3620005,71.87318029,9.035838963
2019-04-18,94,51.7,101.52,78.02,107.16,0.99,89.3,94.0,29.39741692,74.21841429,8.126577225
2019-04-19,94,51.7,101.52,78.02,107.16,0.99,89.3,97.0,28.65366667,77.34592587,10.04741727
2019-04-20,97,53.35,104.76,80.51,110.58,1.02,92.15,95.0,27.31616667,60.30487271,13.0791442
2019-04-21,95,52.25,102.6,78.85,108.3,1.0,90.25,97.0,27.387,71.05027571,14.08119539
2019-04-22,97,53.35,104.76,80.51,110.58,1.02,92.15,98.0,27.99741704,70.21431517,11.13640285
2019-04-23,98,53.9,105.84,81.34,111.72,1.03,93.1,90.0,27.83283346,76.25018896,8.289395753
2019-04-24,90,49.5,97.2,74.7,102.6,0.95,85.5,88.0,27.5745,74.79013408,8.7588651
2019-04-25,88,48.4,95.04,73.04,100.32,0.92,83.6,92.0,27.98700012,76.09016183,11.10090336
2019-04-26,92,50.6,99.36,76.36,104.88,0.97,87.4,96.0,28.07241692,77.26030963,10.75406654
2019-04-27,96,52.8,103.68,79.68,109.44,1.01,91.2,99.0,28.52450013,76.24796475,12.14355981
2019-04-28,99,54.45,106.92,82.17,112.86,1.04,94.05,93.0,28.86616679,73.05522804,14.03671928
2019-04-29,93,51.15,100.44,77.19,106.02,0.98,88.35,93.0,29.56408358,73.13180292,11.72135709
2019-04-30,93,51.15,100.44,77.19,106.02,0.98,88.35,178.0,30.83700025,68.53710367,12.5668852
2019-01-05,178,97.9,192.24,147.74,202.92,1.87,169.1,159.0,30.34116729,72.64815054,12.9149442
2019-02-05,159,87.45,171.72,131.97,181.26,1.67,151.05,113.0,29.14533333,78.8496145,12.35009434
2019-03-05,113,62.15,122.04,93.79,128.82,1.19,107.35,91.0,28.63491667,78.37857804,11.77071305
2019-04-05,91,50.05,98.28,75.53,103.74,0.96,86.45,88.0,28.07241667,77.50079325,9.609458513
2019-05-05,88,48.4,95.04,73.04,100.32,0.92,83.6,59.0,27.69533333,75.01237908,10.06516991
2019-06-05,59,32.45,63.72,48.97,67.26,0.62,56.05,55.0,28.48283333,69.78411167,12.43311179
2019-07-05,55,30.25,59.4,45.65,62.7,0.58,52.25,44.0,28.80366667,71.20656521,11.46613913
2019-08-05,44,24.2,47.52,36.52,50.16,0.46,41.8,36.0,28.48908333,75.21771542,9.61052625
2019-09-05,36,19.8,38.88,29.88,41.04,0.38,34.2,82.0,28.4995,77.84619033,10.22223027
2019-10-05,82,45.1,88.56,68.06,93.48,0.86,77.9,71.0,28.70575,76.560595,10.35717543
2019-11-05,71,39.05,76.68,58.93,80.94,0.75,67.45,112.0,28.85783333,68.94925679,11.31901289
2019-12-05,112,61.6,120.96,92.96,127.68,1.18,106.4,90.0,28.64116667,70.1136515,9.950578867
2019-05-13,90,49.5,97.2,74.7,102.6,0.95,85.5,91.0,28.712,72.17476258,9.808293554
2019-05-14,91,50.05,98.28,75.53,103.74,0.96,86.45,82.0,28.50991667,73.70850371,11.25581334
2019-05-15,82,45.1,88.56,68.06,93.48,0.86,77.9,77.0,28.72658333,74.63518854,10.72392507
2019-05-16,77,42.35,83.16,63.91,87.78,0.81,73.15,78.0,28.8995,76.41476988,10.31892966
2019-05-17,78,42.9,84.24,64.74,88.92,0.82,74.1,80.0,28.62866667,77.56776658,9.646899508
2019-05-18,80,44.0,86.4,66.4,91.2,0.84,76.0,79.0,28.73075025,75.65745196,10.07433116
2019-05-19,79,43.45,85.32,65.57,90.06,0.83,75.05,83.0,28.43700038,78.34151025,10.74653102
2019-05-20,83,45.65,89.64,68.89,94.62,0.87,78.85,90.0,28.77241667,78.80910575,12.17039888
2019-05-21,90,49.5,97.2,74.7,102.6,0.95,85.5,87.0,29.31825025,78.01682029,14.56507191
2019-05-22,87,47.85,93.96,72.21,99.18,0.91,82.65,90.0,29.39325025,78.9843075,13.97852685
2019-05-23,90,49.5,97.2,74.7,102.6,0.95,85.5,89.0,29.4620005,79.98656608,13.30681344
2019-05-24,89,48.95,96.12,73.87,101.46,0.93,84.55,71.0,29.80783346,80.56789379,11.4870601
2019-05-25,71,39.05,76.68,58.93,80.94,0.75,67.45,68.0,29.42241704,78.55573421,11.52454655
2019-05-26,68,37.4,73.44,56.44,77.52,0.71,64.6,86.0,29.65783358,78.32671088,11.31487227
2019-05-27,86,47.3,92.88,71.38,98.04,0.9,81.7,88.0,29.75158346,76.24318112,10.72962672
2019-05-28,88,48.4,95.04,73.04,100.32,0.92,83.6,90.0,29.54533358,75.10525371,10.41673629
2019-05-29,90,49.5,97.2,74.7,102.6,0.95,85.5,69.0,29.74950013,72.07003892,10.63762445
2019-05-30,69,37.95,74.52,57.27,78.66,0.72,65.55,71.0,29.90158383,74.11576875,11.79934065
2019-05-31,71,39.05,76.68,58.93,80.94,0.75,67.45,192.0,29.63700025,76.22912229,10.42756179
2019-01-06,192,105.6,207.36,159.36,218.88,2.02,182.4,153.0,29.62866692,76.41995796,10.83411109
2019-02-06,153,84.15,165.24,126.99,174.42,1.61,145.35,101.0,29.78491679,75.07855288,10.83326081
2019-03-06,101,55.55,109.08,83.83,115.14,1.06,95.95,91.0,30.05783358,71.01615433,12.06504765
2019-04-06,91,50.05,98.28,75.53,103.74,0.96,86.45,93.0,30.41825038,70.36830146,12.13167783
2019-05-06,93,51.15,100.44,77.19,106.02,0.98,88.35,60.0,30.53283358,70.42164788,12.35659885
2019-06-06,60,33.0,64.8,49.8,68.4,0.63,57.0,52.0,30.34116692,71.51488,14.45035792
2019-07-06,52,28.6,56.16,43.16,59.28,0.55,49.4,51.0,30.17033358,70.27079388,12.6052961
2019-08-06,51,28.05,55.08,42.33,58.14,0.54,48.45,37.0,30.31616692,71.78466446,13.60556165
2019-09-06,37,20.35,39.96,30.71,42.18,0.39,35.15,102.0,30.44533346,72.55110929,11.21004715
2019-10-06,102,56.1,110.16,84.66,116.28,1.07,96.9,109.0,30.62658371,73.12112283,11.52549853
2019-11-06,109,59.95,117.72,90.47,124.26,1.14,103.55,199.0,30.82241704,75.72317817,10.9332418
2019-12-06,199,109.45,214.92,165.17,226.86,2.09,189.05,52.0,30.80366729,75.39610946,10.89542069
2019-06-13,52,28.6,56.16,43.16,59.28,0.55,49.4,70.0,30.12033333,78.49374046,11.87451544
2019-06-14,70,38.5,75.6,58.1,79.8,0.74,66.5,51.0,30.12033333,75.58508858,9.791236763
2019-06-15,51,28.05,55.08,42.33,58.14,0.54,48.45,56.0,27.62866667,84.88545704,30.21100071
2019-06-16,56,30.8,60.48,46.48,63.84,0.59,53.2,59.0,27.27033333,89.59757604,28.7323235
2019-06-17,59,32.45,63.72,48.97,67.26,0.62,56.05,65.0,27.1495,88.57149267,25.19389117
2019-06-18,65,35.75,70.2,53.95,74.1,0.68,61.75,51.0,27.48491667,88.97836908,25.93205792
2019-06-19,51,28.05,55.08,42.33,58.14,0.54,48.45,84.0,27.69325,88.30959142,24.09400083
2019-06-20,84,46.2,90.72,69.72,95.76,0.88,79.8,79.0,27.47658333,88.69701121,22.38476571
2019-06-21,79,43.45,85.32,65.57,90.06,0.83,75.05,88.0,27.33283333,90.74061963,23.23238146
2019-06-22,88,48.4,95.04,73.04,100.32,0.92,83.6,88.0,27.85991667,87.68885263,13.27975733
2019-06-23,88,48.4,95.04,73.04,100.32,0.92,83.6,90.0,28.55366667,84.31360688,10.3215634
2019-06-24,90,49.5,97.2,74.7,102.6,0.95,85.5,60.0,28.21616667,86.61301788,8.895080929
2019-06-25,60,33.0,64.8,49.8,68.4,0.63,57.0,59.0,28.76616667,81.71088021,10.28948443
2019-06-26,59,32.45,63.72,48.97,67.26,0.62,56.05,44.0,28.53283333,82.65065379,8.153466563
2019-06-27,44,24.2,47.52,36.52,50.16,0.46,41.8,42.0,27.79325,85.89348721,8.988461108
2019-06-28,42,23.1,45.36,34.86,47.88,0.44,39.9,44.0,28.20575,85.823683,9.848182933
2019-06-29,44,24.2,47.52,36.52,50.16,0.46,41.8,48.0,27.83908333,87.98667725,11.83213687
2019-06-30,48,26.4,51.84,39.84,54.72,0.5,45.6,146.0,27.27866667,89.96985638,14.06358001
2019-01-07,146,80.3,157.68,121.18,166.44,1.53,138.7,90.0,26.8745,90.88958625,20.38989308
2019-02-07,90,49.5,97.2,74.7,102.6,0.95,85.5,96.0,26.54741667,91.064149,17.14184252
2019-03-07,96,52.8,103.68,79.68,109.44,1.01,91.2,93.0,26.487,91.50500758,13.22593096
2019-04-07,93,51.15,100.44,77.19,106.02,0.98,88.35,94.0,26.15158333,92.72432188,11.92439342
2019-05-07,94,51.7,101.52,78.02,107.16,0.99,89.3,70.0,26.69116667,90.67053354,11.18953283
2019-06-07,70,38.5,75.6,58.1,79.8,0.74,66.5,63.0,26.70366667,91.81473388,14.38991603
2019-07-07,63,34.65,68.04,52.29,71.82,0.66,59.85,54.0,26.92241667,91.45849837,16.94476896
2019-08-07,54,29.7,58.32,44.82,61.56,0.57,51.3,41.0,26.65158333,91.74588217,19.91280967
2019-09-07,41,22.55,44.28,34.03,46.74,0.43,38.95,91.0,26.35366667,91.16960275,22.71823242
2019-10-07,91,50.05,98.28,75.53,103.74,0.96,86.45,71.0,26.70783333,91.34329554,21.55422642
2019-11-07,71,39.05,76.68,58.93,80.94,0.75,67.45,145.0,26.85991667,90.89764808,20.67683688
2019-12-07,145,79.75,156.6,120.35,165.3,1.52,137.75,55.0,26.70991667,90.49021729,22.97190367
2019-07-13,55,30.25,59.4,45.65,62.7,0.58,52.25,50.0,26.55991667,90.68870129,19.74151142
2019-07-14,50,27.5,54.0,41.5,57.0,0.53,47.5,58.0,26.56408333,90.44020729,20.49005815
2019-07-15,58,31.9,62.64,48.14,66.12,0.61,55.1,58.0,26.57033333,91.65006792,18.87862981
2019-07-16,58,31.9,62.64,48.14,66.12,0.61,55.1,63.0,26.78908333,91.61597,15.83829615
2019-07-17,63,34.65,68.04,52.29,71.82,0.66,59.85,67.0,27.0745,89.76643588,15.57196921
2019-07-18,67,36.85,72.36,55.61,76.38,0.7,63.65,77.0,27.33908333,87.76957796,16.94146694
2019-07-19,77,42.35,83.16,63.91,87.78,0.81,73.15,74.0,26.77241667,90.48473867,13.70411831
2019-07-20,74,40.7,79.92,61.42,84.36,0.78,70.3,57.0,26.9495,89.07530463,12.15469446
2019-07-21,57,31.35,61.56,47.31,64.98,0.6,54.15,44.0,27.24533333,89.29371171,9.891552183
2019-07-22,44,24.2,47.52,36.52,50.16,0.46,41.8,40.0,27.63491667,86.75083538,6.907418745
2019-07-23,40,22.0,43.2,33.2,45.6,0.42,38.0,34.0,27.60366667,88.51588083,5.420923161
2019-07-24,34,18.7,36.72,28.22,38.76,0.36,32.3,38.0,27.10991667,89.57851767,7.51971235
2019-07-25,38,20.9,41.04,31.54,43.32,0.4,36.1,46.0,27.84741667,87.20220658,11.3443965
2019-07-26,46,25.3,49.68,38.18,52.44,0.48,43.7,50.0,27.412,88.90833925,20.55074842
2019-07-27,50,27.5,54.0,41.5,57.0,0.53,47.5,56.0,26.73908333,90.60331792,19.49228246
2019-07-28,56,30.8,60.48,46.48,63.84,0.59,53.2,67.0,26.68491667,91.20259108,16.16749304
2019-07-29,67,36.85,72.36,55.61,76.38,0.7,63.65,44.0,26.45783333,90.06437362,20.25075083
2019-07-30,44,24.2,47.52,36.52,50.16,0.46,41.8,43.0,26.39116667,90.17285483,21.9667945
2019-07-31,43,23.65,46.44,35.69,49.02,0.45,40.85,161.0,26.52033333,89.04408004,19.64274563
2019-01-08,161,88.55,173.88,133.63,183.54,1.69,152.95,162.0,26.09741667,90.73107379,22.67401875
2019-02-08,162,89.1,174.96,134.46,184.68,1.7,153.9,102.0,26.07658333,89.98201246,25.48971004
2019-03-08,102,56.1,110.16,84.66,116.28,1.07,96.9,93.0,26.29325,89.21469179,22.75177688
2019-04-08,93,51.15,100.44,77.19,106.02,0.98,88.35,88.0,26.58491667,87.69935763,24.9472415
2019-05-08,88,48.4,95.04,73.04,100.32,0.92,83.6,72.0,26.47033333,89.45854563,27.02451233
2019-06-08,72,39.6,77.76,59.76,82.08,0.76,68.4,51.0,25.92866667,91.8748475,27.54770779
2019-07-08,51,28.05,55.08,42.33,58.14,0.54,48.45,69.0,26.19741667,90.66757946,25.62778083
2019-08-08,69,37.95,74.52,57.27,78.66,0.72,65.55,39.0,26.08491667,92.27100071,23.79928346
2019-09-08,39,21.45,42.12,32.37,44.46,0.41,37.05,124.0,26.34741667,90.58366658,24.76644267
2019-10-08,124,68.2,133.92,102.92,141.36,1.3,117.8,46.0,26.91616667,88.03986942,27.65003283
2019-11-08,46,25.3,49.68,38.18,52.44,0.48,43.7,174.0,26.88908333,88.19312408,30.20767854
2019-12-08,174,95.7,187.92,144.42,198.36,1.83,165.3,56.0,27.02241667,86.40661421,33.43602713
2019-08-13,56,30.8,60.48,46.48,63.84,0.59,53.2,62.0,26.99533333,85.80998667,31.33980675
2019-08-14,62,34.1,66.96,51.46,70.68,0.65,58.9,61.0,26.52241667,88.16234988,22.47961617
2019-08-15,61,33.55,65.88,50.63,69.54,0.64,57.95,52.0,26.85366667,87.76156833,15.46039229
2019-08-16,52,28.6,56.16,43.16,59.28,0.55,49.4,69.0,26.93908333,88.90258717,13.68410027
2019-08-17,69,37.95,74.52,57.27,78.66,0.72,65.55,60.0,26.612,90.69952058,14.70777931
2019-08-18,60,33.0,64.8,49.8,68.4,0.63,57.0,61.0,26.5495,89.85953942,17.31563079
2019-08-19,61,33.55,65.88,50.63,69.54,0.64,57.95,67.0,26.85991667,87.68029488,18.60794208
2019-08-20,67,36.85,72.36,55.61,76.38,0.7,63.65,60.0,27.12866667,85.43251354,16.95675629
2019-08-21,60,33.0,64.8,49.8,68.4,0.63,57.0,57.0,26.94741667,87.04645192,11.22948694
2019-08-22,57,31.35,61.56,47.31,64.98,0.6,54.15,59.0,26.87033333,88.50115042,8.841486946
2019-08-23,59,32.45,63.72,48.97,67.26,0.62,56.05,59.0,27.10575,86.68333704,8.835772004
2019-08-24,59,32.45,63.72,48.97,67.26,0.62,56.05,56.0,26.57658333,89.73110658,8.919937833
2019-08-25,56,30.8,60.48,46.48,63.84,0.59,53.2,69.0,26.24325,89.57436521,9.705466012
2019-08-26,69,37.95,74.52,57.27,78.66,0.72,65.55,61.0,26.33283333,89.62472629,10.10693316
2019-08-27,61,33.55,65.88,50.63,69.54,0.64,57.95,45.0,26.21616667,90.54653333,11.47271354
2019-08-28,45,24.75,48.6,37.35,51.3,0.47,42.75,50.0,26.36825,88.59176013,10.16534938
2019-08-29,50,27.5,54.0,41.5,57.0,0.53,47.5,49.0,26.54741667,87.19502175,12.01027149
2019-08-30,49,26.95,52.92,40.67,55.86,0.51,46.55,50.0,26.16616667,90.62319158,14.50104656
2019-08-31,50,27.5,54.0,41.5,57.0,0.53,47.5,154.0,26.51825,90.12884875,15.27832129
2019-01-09,154,84.7,166.32,127.82,175.56,1.62,146.3,159.0,26.94741667,89.71413796,11.77214483
2019-02-09,159,87.45,171.72,131.97,181.26,1.67,151.05,189.0,26.89533333,89.56723283,11.20882688
2019-03-09,189,103.95,204.12,156.87,215.46,1.98,179.55,90.0,26.52241667,91.123418,14.82279804
2019-04-09,90,49.5,97.2,74.7,102.6,0.95,85.5,89.0,27.03491667,88.39336158,16.26845854
2019-05-09,89,48.95,96.12,73.87,101.46,0.93,84.55,87.0,26.63075,91.43598729,15.81719481
2019-06-09,87,47.85,93.96,72.21,99.18,0.91,82.65,53.0,26.24741667,91.61912013,14.06509494
2019-07-09,53,29.15,57.24,43.99,60.42,0.56,50.35,72.0,26.01825,92.34816358,16.97842838
2019-08-09,72,39.6,77.76,59.76,82.08,0.76,68.4,45.0,26.44325,90.93678571,20.16707808
2019-09-09,45,24.75,48.6,37.35,51.3,0.47,42.75,64.0,26.337,91.47630046,20.24043694
2019-10-09,64,35.2,69.12,53.12,72.96,0.67,60.8,75.0,26.61616667,90.9258855,21.39428117
2019-11-09,75,41.25,81.0,62.25,85.5,0.79,71.25,206.0,26.44325,91.52957421,19.694749
2019-12-09,206,113.3,222.48,170.98,234.84,2.16,195.7,39.0,26.82866667,90.51807067,18.74126258
2019-09-13,39,21.45,42.12,32.37,44.46,0.41,37.05,49.0,26.54741667,91.60225792,16.07146421
